town,page,page2,url,num,url_num
Kachlet,374,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454514,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454514
Kaiserslautern,374,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454514,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454514
Kamp-Lintfort,376,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454516,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454516
Karlsruhe,377,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454517,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454517
Kassel,381,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454521,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454521
Kehl,385,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454525,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454525
Kempten,386,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454526,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454526
Kiel,387,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454527,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454527
Kleve,393,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454533,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454533
Koblenz,393,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454533,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454533
Kohlfurt,394,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454534,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454534
Kolberg,394,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454534,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454534
Köln-am-Rhein,396,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454536,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454536
