Page,URL,NUM,URL_NUM
559,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454718,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454718
560,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454719,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454719
561,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454720,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454720
562,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454721,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454721
563,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454722,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454722
564,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454723,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454723
565,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454724,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454724
566,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454725,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454725
567,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454726,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454726
568,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454727,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454727
569,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454728,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454728
570,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454729,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454729
571,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454730,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454730
572,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454731,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454731
573,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454732,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454732
574,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454733,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454733
575,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454734,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454734
