"Town","Province","Page","Page2"
"Finsterwalde","Brandenburg","221","0"
"Flensburg","Schleswig-Holstein","225","0"
"Forbach","Baden","224","0"
"Forst","Brandenburg","224","0"
"Fortuna","Rhineland","50","0"
"Frankenberg","Saxony","225","0"
"Frankenthal","Palatinate","225","0"
"Frankfurt/am/Main","Hesse Nassau","227","0"
"Frankfurt/Oder","Brandenburg","245","0"
"Frechen","Rhineland","244","0"
"Freiberg","Saxony","244","0"
"Freiburg","Baden","244","0"
"Freising","Bavaria","246","0"
"Freital","Saxony","246","0"
"Freyburg","Saxony","246","0"
"Friedberg","Hesse","247","0"
"Friedrichsfeld","Baden","247","0"
"Friedrichshafen","W??rttemberg","248","0"
"Fulda","Hesse Nassau","252","0"
"F??rstenhagen","Hesse Nassau","253","0"
"F??rstenwalde","Brandenburg","253","0"
"F??rth","Bavaria","255","0"
"Furtwangen","Baden","256","0"
"Gaggenau","Baden","257","0"
"Gazmisch","Bavaria","257","0"
"Geislingen","W??rttemberg","257","0"
"Geisweid","Westphalia","258","0"
"Gelsenkirchen","Westphalia","260","0"
"Genshagen","Brandenburg","267","0"
"Genthin","Saxony","267","0"
"Gera","Thuringia","268","0"
"Gevelsberg","Westphalia","292","0"
"Gftrlitz","Silesia","278","0"
"Giessen","Hesse","271","0"
"Gladbeck","Westphalia","271","0"
"Glatz","Silesia","272","0"
"Glauchau","Saxony","272","0"
"Glausig","Anhalt","416","0"
"Gleiwitz","Silesia","272","0"
"Glogau","Silesia","276","0"
"G??ppingen","W??rttemberg","276","0"
"Goslar","Hanover","279","0"
"Gotha","Thuringia","281","0"
"G??ttingen","Hanover","284","0"
"Greifferiberg","Silesia","285","0"
"Greifswald","Pomerania","285","0"
"Greiz","Thuringia","286","0"
"Grevenbroich","Rhineland","287","0"
"Grftriberg","Silesia","288","0"
"Gronau","Westphalia","287","0"
"GrossKayna","Saxony (Provinz)","710","0"
"Guben","Brandenburg","289","0"
"Gumbinnen","East Prussia","289","0"
"Gummersbach","Rhineland","290","0"
"G??strow","Mecklenburg","291","0"
"G??tersloh","Westphalia","291","0"
"Hagen","Westphalia","292","0"
"Hainichen","Saxony","298","0"
"Halberstadt","Saxony (Provinz)","298","0"
"Halle","Saxony (Provinz)","299","0"
"Ham","Westphalia","329","0"
"Hamburg","Free City","303","0"
"Hameln","Hanover","328","0"
"Hanau","Hesse Nassau","331","0"
"Hannover","Hanover","334","0"
"Hasslinghausen","Westphalia","292","0"
"Hattingen","Westphalia","76","0"
"H??usern","Baden","697","0"
"Heidelberg","Baden","343","0"
"Heidenau","Saxony","344","0"
"Heidenheim","W??rttemberg","344","0"
"Heilbronn","W??rttemberg","345","0"
"Helmstedt","Brunswick","348","0"
"Hemberg","Rhineland","363","0"
"Hemfurth","Hesse Nassau","694","0"
"Henrichenburg","Westphalia","115","0"
"Herborn","Hesse Nassau","350","0"
"Herford","Westphalia","351","0"
"Herne","Westphalia","352","0"
"Hersfeld","Hesse Nassau","354","0"
"Hettstedt","Saxony","198","0"
"Heydebreck","Silesia","355","0"
"Hilden","Bhineland","355","0"
"Hildesheim","Hanover","355","0"
"Hindenburg","Silesia","357","0"
"Hirschberg","Silesia","360","0"
"Hirschfelde","Saxony","752","0"
"H??chst/Main","Hesse Nassau","227","0"
"Hof","Bavaria","361","0"
"Hohenlimburg","Westphalia","438","0"
"Hohenstein-Ernstthal","Saxony","362","0"
"H??hneDam","Westphalia","630","0"
"Homburg","Saar","364","0"
"Hoppecke","Westphalia","364","0"
"H??rselgau","Thuringia","365","0"
"H??xter","Westphalia","365","0"
"H??ls","Westphalia","473","0"
"H??rth","Rhineland","396","0"
"Ibbenb??ren","Westphalia","366","0"
"Idar^Gberstein","Rhineland","366","0"
"Ihneburg","Hanover","451","0"
"Ihnen","Westphalia","142","0"
"Ilmenau","Thuringia","367","0"
"Ilsenburg","Saxony (Provinz)","367","0"
"Ingolstadt","Bavaria","368","0"
"Insterburg","East Prussia","368","0"
"Iserlohn","Westphalia","369","0"
"Itzehoe","Schleswig-Holstein","370","0"
"Jauer","Silesia","371","0"
"Jena","Thuringia","371","0"
"Kachlet","Bavaria","374","0"
"Kaiserslautern","Palatinate","374","0"
"Kamp-Lintfort","Rhineland","376","0"
"Karlsruhe","Baden","377","0"
"Kassel","Hesse Nassau","381","0"
"Kehl/Rhine","Baden","385","0"
"Kelsteibaciyldain","Hesse","227","0"
"Kempten","Bavaria","386","0"
"Kiel","Schleswig-Holstein","387","0"
"Klausthal","Hanover","124","0"
"Kleve","Rhineland","393","0"
"Knapsack","Rhineland","393","0"
"Koblenz","Rhineland","393","0"
"Kohlfurt","Saxony","394","0"
"Kolberg","Pomerania","394","0"
"K??lnamRhein (Cologne)","Rhineland","396","0"
"Kolscheid","Rhineland","205","0"
"K??nigsberg","East Prussia","408","0"
"K??nigshuld","Silesia","412","0"
"Konstanz","Baden","413","0"
"Kornwestheim","W??rttemberg","413","0"
"Kosel","Silesia","414","0"
"K??slin","Pomerania","415","0"
"Koswig","Anhalt","124","0"
"Koswig","Saxony","125","0"
"K??then","Anhalt","416","0"
"Kottbus","Brandenburg","125","0"
"Kraiburg","Bavaria","482","0"
"Krefeld","Rhineland","417","0"
"Krixnmitschau","Saxony","126","0"
"Kr??mel","Schleswig-Holstein","177","0"
"Kruppamfthle","Silesia","419","0"
"K??strin","Brandenburg","420","0"
"Lahr","Baden","422","0"
"Landau","Bavaria","422","0"
"Landsberg","Brandenburg","422","0"
"Landshut","Bavaria","423","0"
"Langenfeld","Rhineland","424","0"
"Langenfeld","Rhineland","737","0"
"Langeribiela","Silesia","423","0"
"Lauban","Silesia","424","0"
"Laucherthal","Hohenzollern","627","0"
"Laueriberg","Pomerania","425","0"
"Lauta","Brandenburg","425","0"
"Lechfeld","Bavaria","426","0"
"Lehrte","Westphalia","427","0"
"Leipheim","Bavaria","683","0"
"Leipzig","Saxony","428","0"
"Leopoldshall","Saxony","643","0"
"Letmathe","Westphalia","438","0"
"Leverkusen","Rhineland","439","0"
"Liegnitz","Silesia","441","0"
"Limbach","Saxony","442","0"
"Limburg","Hesse Nassau","443","0"
"Lindau","Bavaria","443","0"
"Lippstadt","Westphalia","443","0"
"L??bau","Saxony","444","0"
"L??rrach","Baden","444","0"
"L??beck","Schleswig-Holstein","445","0"
"Luckenwalde","Brandenburg","449","0"
"L??denscheid","Westphalia","449","0"
"Ludwigsburg","W??rttemberg","450","0"
"Ludwigshafen","Bavaria","450","0"
"Ludwigshafen","Bavaria","463","0"
"Lunow","Brandenburg","451","0"
"L??ttringhausen","Rhineland","570","0"
"Lyck","East Prussia","452","0"
"Magdeburg","Saxony (Provinz)","453","0"
"Mainz","Hesse","459","0"
"Malapane","Silesia","461","0"
"Malchin","Mecklenburg","462","0"
"Malchow","Mecklenburg","462","0"
"Mannheim","Baden","463","0"
"Mansfeld","Saxony","198","0"
"Marburg","Hesse Nassau","472","0"
"Marienburg","East Prussia","472","0"
"Marl","Westphalia","473","0"
"Mayen","Rhineland","474","0"
"Mechernich","Rhineland","474","0"
"Meerane","Saxony","475","0"
"Meiningen","Thuringia","475","0"
"Meissen","Saxony","476","0"
"Melle","Hanover","476","0"
"Memmingen","Bavaria","477","0"
"Menden","Westphalia","477","0"
"Merseburg","Saxony (Provinz)","477","0"
"Mettmann","Rhineland","478","0"
"Meuselwitz","Thuringia","479","0"
"Minden","Westphalia","479","0"
"Mittweida","Saxony","480","0"
"Moers","Rhineland","480","0"
"Mosbach","Baden","481","0"
"M??hldorf","Bavaria","482","0"
"M??hlhausen","Saxony (Provinz)","483","0"
"M??hlheim","Rhineland","486","0"
"M??hlheim/Ruhr","Rhineland","484","0"
"M??nchen (Munich)","Bavaria","487","0"
"M??nchen/Gladbach","Rhineland","497","0"
"M??nster","Westphalia","498","0"
"Naumburg","Saxony (Provinz)","499","0"
"Neckarsulm","W??rttemberg","345","0"
"Neheim","Westphalia","499","0"
"Neisse","Silesia","499","0"
"Ne??branderiburg","Mecklenburg","500","0"
"NeuIsenburg","Hesse","500","0"
"Neum??nster","Schleswig-Holstein","501","0"
"Neunkirchen","Saar","501","0"
"Neuruppin","Brandenburg","503","0"
"Neusalz","Silesia","503","0"
"Neuss","Rhineland","504","0"
"Neustadt","Bavaria","508","0"
"Neustadt-Clewe","Mecklenburg","508","0"
"Neustettin","Pomerania","508","0"
"Neustrelitz","Mecklenburg","508","0"
"Neuwied","Rhineland","509","0"
"Niedermarsberg","Westphalia","509","0"
"NienburgadWeser","Hanover","509","0"
"Nieskyo/Lausitz","Silesia","510","0"
"Nordenham","Oldenburg","510","0"
"Nordhausen","Saxony (Provinz)","511","0"
"Nordhorn","Hanover","513","0"
"N??rnberg","Bavaria","514","0"
"Obemburg/Main","Bavaria","526","0"
"Oberhausen","Rhineland","521","0"
"Oberndorf","W??rttemberg","526","0"
"Obernkirchen","Hanover","527","0"
"Oberscheld","Hesse Nassau","527","0"
"Oberursel","Hesse Nassau","528","0"
"Oels","Silesia","528","0"
"Oelsnitz","Vogtland","529","0"
"Oestrich","Hesse Nassau","529","0"
"Offenbach am Main","Hesse","529","0"
"Offenburg","Baden","534","0"
"Oldenburg","Oldenburg","534","0"
"Opladen","Rhineland","535","0"
"Oppau","Baden","463","0"
"Oppeln","Silesia","536","0"
"Oranienburg","Brandenburg","32","0"
"Ortelsburg","East Prussia","537","0"
"Oschersleben","Saxony (Provinz)","537","0"
"Osnabr??ck","Hanover","538","0"
"Osternienburg","Anhalt","541","0"
"Osterode","East Prussia","542","0"
"Paderborn","Westphalia","543","0"
"Parchim","Mecklenburg","543","0"
"Passau","Bavaria","544","0"
"Passau","Bavaria","374","0"
"Peine","Hanover","544","0"
"Peiskretscham","Silesia","545","0"
"Petersdorf","Silesia","545","0"
"Pforzheim","Baden","546","0"
"Piesteritz","Saxony (Provinz)","548","0"
"Pillau","East Prussia","549","0"
"Pinneberg","Holstein","550","0"
"Pirmasens","Bavaria","550","0"
"Pirna","Saxony","551","0"
"Planitz","Saxony","551","0"
"Plauen","Saxony","552","0"
"Pletteriburg","Westphalia","553","0"
"Porz","Rhineland","396","0"
"P??ssneck","Thuringia","553","0"
"Potsdam","Brandenburg","554","0"
"Premnitz","Brandenburg","554","0"
"Prenzlau","Brandenburg","555","0"
"Quedlinburg","Saxony (Provinz)","556","0"
"Radeberg","Saxony","557","0"
"Radebeul","Saxony","557","0"
"Ragnit","East Prussia","671","0"
"Rastatt","Baden","559","0"
"Rasteriburg","East Prussia","559","0"
"Rathenow","Brandenburg","560","0"
"Ratibor","Silesia","561","0"
"Ratingen","Rhineland","179","0"
"Rauxel","Westphalia","115","0"
"Ravensburg","W??rttemberg","562","0"
"Recklinghausen","Westphalia","562","0"
"Regensburg","Bavaria","566","0"
"Reichenbach","Saxony","569","0"
"Reichenbach","Silesia","569","0"
"Reigersfeld","Upper Silesia","75","0"
"Reinsdorf","Saxony (Provinz)","672","0"
"Rendsburg","Schleswig-Holstein","574","0"
"Repeln-Baerl","Rhineland","575","0"
"Reutlingen","W??rttemberg","575","0"
"Rheine","Westphalia","575","0"
"Rheinfelden","Baden","576","0"
"Rheydt","Rhineland","578","0"
"Riesa","Saxony","579","0"
"Roascheid","Rhineland","570","0"
"Ronneburg","Thuringia","580","0"
"Rosenheim","Bavaria","581","0"
"Rosswein","Saxony","582","0"
"Rostock","Mecklenburg","582","0"
"Rottweil","W??rttemberg","586","0"
"Rudolstadt","Thuringia","586","0"
"Ruhla","Thuringia","587","0"
"Ruhlandr-Schwarzheide","Saxony","619","0"
"Ruhr","Rhineland Westphalia","588","0"
"Rummenohl","Westphalia","589","0"
"R??sselsheim","Hesse","589","0"
"Saalfeld","Thuringia","591","0"
"Saarbr??cken","Saar","592","0"
"Saarlautem","Saar","597","0"
"Sagan","Silesia","598","0"
"Salzgitter","Hanover","599","0"
"Salzwedel","Saxony (Provinz)","600","0"
"Sangerhausen","Saxony (Provinz)","600","0"
"Schkeuditz","Saxony (Provinz)","602","0"
"Schkopau","Saxony (Provinz)","602","0"
"Schlebusch","Rhineland","603","0"
"Schleswig","Schleswig-Holstein","604","0"
"Schluchsee","Baden","603","0"
"Schneidemflhl","Pomerania","604","0"
"Sch??nebeck","Saxony","605","0"
"Sch??ningen","Brunswick","606","0"
"Schramberg","W??rttemberg","607","0"
"Schwabach","Bavaria","609","0"
"Schw??bisch-C-m??nd","W??rttemberg","609","0"
"Schw??bisch??all","W??rttemberg","610","0"
"Schwandorf","Bavaria","610","0"
"Schweidnitz","Silesia","611","0"
"Schweinfurt","Bavaria","612","0"
"Schwelm","Westphalia","615","0"
"Schwenningen","W??rttemberg","616","0"
"Schwerin","Mecklenburg","617","0"
"Schwerte","Westphalia","618","0"
"Scswerd??","Saxony (Provinz)","636","0"
"Senftenberg","Brandenburg","619","0"
"Siegburg","Rhineland","622","0"
"Siegen","Westphalia","623","0"
"Siegmar-Sch??nau","Saxony","118","627"
"Sigmaringen","Hohenzollern","627","0"
"Sindelfingen","W??rttemberg","627","0"
"Singen","Baden","628","0"
"Soest","Westphalia","630","0"
"Solingen","Westphalia","632","0"
"Sommerfeld","Brandenburg","636","0"
"Sonneberg","Thuringia","637","0"
"Sonneburg","Brandenburg","637","0"
"Sorau","Brandenburg","638","0"
"Speyer","Bavaria","639","0"
"Spremberg","Brandenburg","639","0"
"Stade","Hanover","641","0"
"Stadeln","Bavaria","641","0"
"Stargard","Pomerania","642","0"
"Stassfurt","Saxony (Provinz)","643","0"
"Stendal","Saxony (Provinz)","644","0"
"Stettin","Pomerania","645","0"
"StIngbert","Saar","601","0"
"Stockstadt","Bavaria","652","0"
"Stolberg","Rhineland","653","0"
"Stolp","Pomerania","655","0"
"Stralsund","Pomerania","655","0"
"Straubing","Bavaria","656","0"
"Striegau","Silesia","656","0"
"Stuttgart","W??rttemberg","657","0"
"StWendel","Saar","602","0"
"Suhl","Saxony (Provinz)","667","0"
"Swinemftnde","Pomerania","669","0"
"Tabarz","Thuringia","701","0"
"Teichwolframsdorf","Thuringia","670","0"
"Teningen","Baden","670","0"
"Thale","Saxony (Provinz)","670","0"
"Tilsit","East Prussia","671","0"
"Todtnau","Baden","672","0"
"Torgau","Saxony (Provinz)","672","0"
"Trebbin","Brandenburg","673","0"
"Trier","Rhineland","673","0"
"Trostberg","Bavaria","674","0"
"T??bingen","W??rttemberg","675","0"
"Tuttlingen","W??rttemberg","676","0"
"Tuttow","Pomerania","676","0"
"Ueckermxinde","Pomerania","678","0"
"Uelzen","Hanover","678","0"
"Uerdingen-Rhine","Rhineland","679","0"
"Ulm","W??rttemberg","683","0"
"Unna","Westphalia","687","0"
"Vacha","Thuringia","688","0"
"Varel","Oldenburg","688","0"
"Velbert","Rhineland","688","0"
"Velten","Brandenburg","690","0"
"Viersen","Rhineland","691","0"
"Villingen","Baden","691","0"
"Vockerode","Anhalt","693","0"
"V??lklingen","Saar","693","0"
"Waldeck","Hesse Nassau","694","0"
"Waldenburg","Silesia","695","0"
"Waldshut","Baden","697","0"
"Walsrode","Hanover","700","0"
"Wanne Eickel","Westphalia","701","0"
"Waren","Mecklenburg","704","0"
"Warnem??nde","Mecklenburg","704","0"
"Wasseralfingen","W??rttemberg","705","0"
"Wattenscheid","Westphalia","705","0"
"Weida","Thuringia","706","0"
"Weiden","Bavaria","707","0"
"Weimar","Thuringia","707","0"
"Weinheim","Baden","709","0"
"Weissenfels","Saxony (Provinz)","709","0"
"Weissig","Saxony","711","0"
"Weisstein","Silesia","712","0"
"Wenzendorf","Hanover","712","0"
"Werdau","Saxony","712","0"
"Werder","Brandenburg","714","0"
"Werdohl","Westphalia","714","0"
"Wernigerode","Saxony (Provinz)","715","0"
"Wertheim","Baden","716","0"
"Wesel","Rhineland","716","0"
"Wesseling","Rhineland","717","0"
"Westerland","Schleswig-Holstein","718","0"
"Wetzlar","Hesse Nassau","718","0"
"Wiesbaden","Hesse Nassau","721","0"
"Wildflecken","Bavaria","723","0"
"Wilhelmshaven","Oldenburg","724","0"
"Wismar","Mecklenburg","726","0"
"Witten","Westphalia","728","0"
"Wittenberg","Saxony (Provinz)","732","0"
"Wittenberge","Brandenburg","733","0"
"Wolferibttttel","Brunswick","734","0"
"Wolfratshausen","Bavaria","735","0"
"Wolfratshausen","Bavaria","487","0"
"Woltershausen","Thuringia","701","0"
"Worms","Hesse","736","0"
"WsJLchensee","Bavaria","694","0"
"Wtirzburg","Bavaria","742","0"
"Wuppertal","Rhineland","737","0"
"Wurzen","Saxony","745","0"
"Wustermark","Brandenburg","746","0"
"Wyhlen","Baden","747","0"
"Zeitz","Saxony (Provinz)","748","0"
"Zella-Mehlis","Thuringia","749","0"
"Zeulenroda","Thuringia","751","0"
"Zittau","Saxony","752","0"
"Zoppot","Danzig","754","0"
"Zschopau","Saxony","754","0"
"Zweibr??cken","Bavaria","754","0"
"Zwickau","Saxony","755","0"
